city,number of people
Busan_Dongnae-gu,39
Busan_Haeundae-gu,22
Busan_Yeonje-gu,4
Busan,1
Busan_Buk-gu,8
Busan_Nam-gu,7
Busan_Seo-gu,6
Busan_Geumjeong-gu,7
Busan_Saha-gu,11
Busan_Gangseo-gu,5
Busan_Suyeong-gu,11
Busan_Sasang-gu,5
Busan_Busanjin-gu,14
Busan_etc,9
Busan_Gijang-gun,1
Busan_Dong-gu,1
Chungcheongbuk-do_Jeungpyeong-gun,2
Chungcheongbuk-do_Cheongju-si,20
Chungcheongbuk-do_Eumseong-gun,7
Chungcheongbuk-do_Chungju-si,13
Chungcheongbuk-do_Goesan-gun,11
Chungcheongbuk-do_Danyang-gun,1
Chungcheongbuk-do_Jincheon-gun,1
Chungcheongbuk-do_Okcheon-gun,1
Chungcheongnam-do_Gyeryong-si,3
Chungcheongnam-do_Cheonan-si,110
Chungcheongnam-do_Asan-si,18
Chungcheongnam-do_Seosan-si,9
Chungcheongnam-do_Hongseong-gun,4
Chungcheongnam-do_Taean-gun,1
Chungcheongnam-do_Buyeo-gun,13
Chungcheongnam-do_Seocheon-gun,1
Chungcheongnam-do_Nonsan-si,6
Chungcheongnam-do_Gongju-si,3
Daegu,42
Daegu_Jung-gu,3
Daegu_Nam-gu,11
Daegu_Dalseo-gu,29
Daegu_Dalseong-gun,1
Daegu_Seo-gu,7
Daegu_Suseong-gu,14
Daegu_Dong-gu,10
Daegu_Buk-gu,10
Daegu_Dalsung-gun,6
Daegu_Kyeongsan-si,1
Daegu_sankyeock-dong,1
Daegu_Icheon-dong,1
Daegu_Yeongcheon-si,1
Daejeon_Dong-gu,15
Daejeon_Yuseong-gu,40
Daejeon_Daedeok-gu,5
Daejeon_Seo-gu,47
Daejeon_Jung-gu,11
Daejeon_Sejong,1
Gangwon-do_Gangneung-si,9
Gangwon-do_Samcheok-si,1
Gangwon-do_Sokcho-si,3
Gangwon-do_Wonju-si,25
Gangwon-do_Chuncheon-si,10
Gangwon-do_Taebaek-si,1
Gangwon-do_Inje-gun,1
Gangwon-do_Hoengseong-gun,1
Gangwon-do_Yeongwol-gun,1
Gangwon-do_Cheorwon-gun,11
Gwangju,44
Gyeonggi-do_Suwon-si,100
Gyeonggi-do_Goyang-si,53
Gyeonggi-do_Pyeongtaek-si,61
Gyeonggi-do_Bucheon-si,162
Gyeonggi-do_Guri-si,11
Gyeonggi-do_Siheung-si,27
Gyeonggi-do_Gimpo-si,37
Gyeonggi-do_Icheon-si,15
Gyeonggi-do_Pocheon-si,19
Gyeonggi-do_Anyang-si,63
Gyeonggi-do_Yongin-si,104
Gyeonggi-do_Paju-si,16
Gyeonggi-do_Namyangju-si,47
Gyeonggi-do_Seongnam-si,173
Gyeonggi-do_Gwacheon-si,9
Gyeonggi-do_Gwangmyeong-si,28
Gyeonggi-do_Hwaseong-si,41
Gyeonggi-do_Osan-si,8
Gyeonggi-do_Gunpo-si,75
Gyeonggi-do_Uiwang-si,10
Gyeonggi-do_Ansan-si,33
Gyeonggi-do_Gwangju-si,35
Gyeonggi-do_Anseong-si,4
Gyeonggi-do_Uijeongbu-si,47
Gyeonggi-do_Hanam-si,12
Gyeonggi-do_Dongducheon-si,5
Gyeonggi-do_Yangju-si,9
Gyeonggi-do_Gapyeong-gun,1
Gyeonggi-do_Yangpyeong-si,1
Gyeonggi-do_Suwon,1
Gyeonggi-do_Guri,1
Gyeongsangbuk-do_Gyeongsan-si,638
Gyeongsangbuk-do_Gyeongju-si,52
Gyeongsangbuk-do_Goryeong-gun,10
Gyeongsangbuk-do_Gumi-si,78
Gyeongsangbuk-do_Gunwi-gun,6
Gyeongsangbuk-do_Gimcheon-si,24
Gyeongsangbuk-do_Mungyeong-si,4
Gyeongsangbuk-do_Bonghwa-gun,71
Gyeongsangbuk-do_Sangju-si,15
Gyeongsangbuk-do_Seongju-gun,23
Gyeongsangbuk-do_Andong-si,53
Gyeongsangbuk-do_Yeongdeok-gun,2
Gyeongsangbuk-do_Yeongyang-gun,2
Gyeongsangbuk-do_Yeongju-si,5
Gyeongsangbuk-do_Yeongcheon-si,37
Gyeongsangbuk-do_Yecheon-gun,44
Gyeongsangbuk-do_Uiseong-gun,41
Gyeongsangbuk-do_Cheongdo-gun,43
Gyeongsangbuk-do_Cheongsong-gun,2
Gyeongsangbuk-do_Chilgok-gun,51
Gyeongsangbuk-do_Pohang-si,53
Gyeongsangnam-do_Hapcheon-gun,10
Gyeongsangnam-do_Jinju-si,12
Gyeongsangnam-do_Changwon-si,31
Gyeongsangnam-do_Yangsan-si,8
Gyeongsangnam-do_Geoje-si,13
Gyeongsangnam-do_Hamyang-gun,1
Gyeongsangnam-do_Goseong-gun,2
Gyeongsangnam-do_Gimhae-si,14
Gyeongsangnam-do_Namhae-gun,1
Gyeongsangnam-do,3
Gyeongsangnam-do_Geochang-gun,19
Gyeongsangnam-do_Changnyeong-gun,9
Gyeongsangnam-do_Miryang-si,5
Gyeongsangnam-do_Haman-gun,1
Gyeongsangnam-do_Sancheong-gun,1
Gyeongsangnam-do_Sacheon-si,3
Incheon_etc,1
Incheon_Bupyeong-gu,83
Incheon_Michuhol-gu,69
Incheon_Seo-gu,18
Incheon_Yeonsu-gu,45
Incheon_Gyeyang-gu,55
Incheon_Namdong-gu,45
Incheon,4
Incheon_Dong-gu,5
Incheon_Jung-gu,17
Incheon_Ganghwa-gun,1
Jeju-do_Jeju-do,18
Jeju-do_etc,1
Jeollabuk-do_Gunsan-si,4
Jeollabuk-do_Gimje-si,3
Jeollabuk-do_Jeonju-si,8
Jeollabuk-do_etc,9
Jeollabuk-do_Iksan-si,2
Jeollabuk-do_Jangsu-gun,1
Jeollanam-do_etc,10
Jeollanam-do_Suncheon-si,2
Jeollanam-do_Yeosu-si,3
Jeollanam-do_Gwangyang-si,1
Jeollanam-do_Hwasun-gun,1
Jeollanam-do_Muan-gun,2
Jeollanam-do_Mokpo-si,5
Jeollanam-do_Gyeongsan-si,1
Sejong_Sejong,51
Seoul_Gangseo-gu,78
Seoul_Jungnang-gu,33
Seoul_Jongno-gu,22
Seoul_Mapo-gu,38
Seoul_Seongbuk-gu,33
Seoul_etc,80
Seoul_Songpa-gu,55
Seoul_Seodaemun-gu,36
Seoul_Seongdong-gu,49
Seoul_Seocho-gu,55
Seoul_Guro-gu,85
Seoul_Gangdong-gu,35
Seoul_Eunpyeong-gu,53
Seoul_Geumcheon-gu,32
Seoul_Gwanak-gu,113
Seoul_Nowon-gu,43
Seoul_Dongjak-gu,53
Seoul_Gangnam-gu,83
Seoul_Yangcheon-gu,71
Seoul_Gwangjin-gu,17
Seoul_Dongdaemun-gu,38
Seoul_Yeongdeungpo-gu,62
Seoul_Dobong-gu,62
Seoul_Yongsan-gu,50
Seoul_Gangbuk-gu,24
Seoul_Jung-gu,12
Ulsan_Ulju-gun,6
Ulsan_Jung-gu,12
Ulsan_Dong-gu,9
Ulsan_Nam-gu,18
Ulsan_Buk-gu,10
